firstName,lastName,email,department,position,basicSalary,gender,phone,dateJoined
Michael,Asare,michael.asare.62@thenoveltyconcepts.com,Finance,Finance Manager,15810,Male,+233209049830,2017-02-06
Kwesi,Sarpong,kwesi.sarpong.63@thenoveltyconcepts.com,IT,DevOps Engineer,8173,Female,+233205831477,2023-10-08
Kojo,Sarpong,kojo.sarpong.64@thenoveltyconcepts.com,IT,IT Manager,19695,Female,+233201558466,2018-11-12
Blessing,Owusu,blessing.owusu.65@thenoveltyconcepts.com,Operations,Operations Officer,8210,Female,+233208151597,2021-02-26
Daniel,Bonsu,daniel.bonsu.66@thenoveltyconcepts.com,Operations,Operations Officer,6797,Male,+233207696977,2024-12-03
Ama,Turkson,ama.turkson.67@thenoveltyconcepts.com,Legal,Compliance Officer,10276,Male,+233205570200,2024-06-04
Akua,Danquah,akua.danquah.68@thenoveltyconcepts.com,IT,System Administrator,4933,Male,+233201609015,2025-01-03
Rita,Nkansah,rita.nkansah.69@thenoveltyconcepts.com,Sales,Head of Sales,20417,Female,+233202640060,2024-01-10
Isaac,Tetteh,isaac.tetteh.70@thenoveltyconcepts.com,Marketing,Content Creator,5085,Female,+233201784228,2019-02-27
Kofi,Adu,kofi.adu.71@thenoveltyconcepts.com,Marketing,Marketing Executive,6298,Female,+233208489307,2022-06-19
Blessing,Annan,blessing.annan.72@thenoveltyconcepts.com,Marketing,Marketing Manager,19944,Female,+233208478594,2017-09-29
Ama,Frimpong,ama.frimpong.73@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,7673,Male,+233208813997,2018-07-23
Yaa,Frimpong,yaa.frimpong.74@thenoveltyconcepts.com,Operations,Admin Assistant,6202,Female,+233202140363,2020-08-09
Akua,Adu,akua.adu.75@thenoveltyconcepts.com,IT,System Administrator,10773,Female,+233208631409,2016-01-21
Ama,Kwarteng,ama.kwarteng.76@thenoveltyconcepts.com,Marketing,Social Media Manager,7796,Female,+233208552588,2017-09-22
Akua,Mensah,akua.mensah.77@thenoveltyconcepts.com,IT,DevOps Engineer,5248,Male,+233207862171,2018-05-22
Prince,Danquah,prince.danquah.78@thenoveltyconcepts.com,HR,HR Officer,9716,Male,+233207431513,2020-11-05
Emmanuel,Adjei,emmanuel.adjei.79@thenoveltyconcepts.com,IT,IT Support Specialist,3816,Female,+233206762340,2025-07-07
Akua,Tetteh,akua.tetteh.80@thenoveltyconcepts.com,Operations,Logistics Coordinator,4249,Male,+233208303604,2021-07-28
Patricia,Annan,patricia.annan.81@thenoveltyconcepts.com,Finance,Finance Manager,20932,Male,+233208615358,2023-04-03
Afia,Amankwah,afia.amankwah.82@thenoveltyconcepts.com,IT,IT Manager,24967,Female,+233207578100,2019-08-23
Kojo,Owusu,kojo.owusu.83@thenoveltyconcepts.com,Finance,Financial Analyst,4649,Female,+233209389725,2016-07-04
Samuel,Boateng,samuel.boateng.84@thenoveltyconcepts.com,Sales,Account Executive,5188,Male,+233208619985,2020-10-12
Yaw,Yeboah,yaw.yeboah.85@thenoveltyconcepts.com,Sales,Account Executive,7514,Female,+233204424635,2023-07-07
Rita,Acheampong,rita.acheampong.86@thenoveltyconcepts.com,HR,HR Assistant,8410,Female,+233205698827,2020-03-08
Emmanuel,Appiah,emmanuel.appiah.87@thenoveltyconcepts.com,Finance,Accountant,5580,Male,+233202941443,2024-06-10
Afia,Mensah,afia.mensah.88@thenoveltyconcepts.com,Sales,Head of Sales,17346,Female,+233202485852,2024-02-27
Abigail,Yeboah,abigail.yeboah.89@thenoveltyconcepts.com,Marketing,Social Media Manager,7011,Male,+233204681673,2016-07-01
Ebenezer,Donkor,ebenezer.donkor.90@thenoveltyconcepts.com,Operations,Facility Coordinator,10698,Male,+233204342751,2021-05-21
Sampson,Bonsu,sampson.bonsu.91@thenoveltyconcepts.com,Legal,Compliance Officer,7315,Female,+233208258083,2020-10-18
Emmanuel,Adu,emmanuel.adu.92@thenoveltyconcepts.com,Operations,Operations Officer,5541,Male,+233209558544,2016-07-30
Nana,Quansah,nana.quansah.93@thenoveltyconcepts.com,Marketing,Marketing Executive,10528,Male,+233207297705,2020-12-07
Isaac,Bonsu,isaac.bonsu.94@thenoveltyconcepts.com,Sales,Sales Representative,8402,Female,+233209559558,2024-10-06
Afia,Osei,afia.osei.95@thenoveltyconcepts.com,Operations,Operations Officer,10226,Female,+233207953620,2019-05-26
Maame,Turkson,maame.turkson.96@thenoveltyconcepts.com,IT,DevOps Engineer,3532,Female,+233206129676,2023-09-27
Ebenezer,Quansah,ebenezer.quansah.97@thenoveltyconcepts.com,Operations,Admin Assistant,10779,Male,+233209142428,2024-12-16
Adjoa,Adu,adjoa.adu.98@thenoveltyconcepts.com,HR,HR Officer,8173,Male,+233205696981,2025-12-26
Sampson,Amankwah,sampson.amankwah.99@thenoveltyconcepts.com,Legal,Compliance Officer,6549,Female,+233203702025,2021-11-18
Akosua,Bonsu,akosua.bonsu.100@thenoveltyconcepts.com,Marketing,Marketing Executive,3128,Female,+233207981657,2016-10-13
Yaw,Nkansah,yaw.nkansah.101@thenoveltyconcepts.com,IT,System Administrator,5263,Male,+233204579779,2020-08-20
Kwesi,Danquah,kwesi.danquah.102@thenoveltyconcepts.com,Marketing,Marketing Executive,9735,Male,+233204310319,2017-02-12
Patricia,Oppong,patricia.oppong.103@thenoveltyconcepts.com,Marketing,Content Creator,10736,Female,+233207967173,2021-03-22
Patricia,Donkor,patricia.donkor.104@thenoveltyconcepts.com,Operations,Operations Officer,3997,Male,+233201418949,2016-07-21
Patricia,Amankwah,patricia.amankwah.105@thenoveltyconcepts.com,Marketing,SEO Specialist,4910,Male,+233201232287,2019-09-16
Abena,Turkson,abena.turkson.106@thenoveltyconcepts.com,Operations,Facility Coordinator,4389,Female,+233205023924,2022-08-16
Samuel,Adjei,samuel.adjei.107@thenoveltyconcepts.com,Operations,Operations Officer,10720,Male,+233208398311,2016-04-18
Gifty,Danquah,gifty.danquah.108@thenoveltyconcepts.com,Marketing,Content Creator,3048,Female,+233202862035,2017-04-01
Kwesi,Turkson,kwesi.turkson.109@thenoveltyconcepts.com,Legal,Compliance Officer,9182,Female,+233206518902,2020-07-14
Kojo,Owusu,kojo.owusu.110@thenoveltyconcepts.com,Operations,Operations Manager,12978,Female,+233206691724,2016-04-25
Patricia,Amankwah,patricia.amankwah.111@thenoveltyconcepts.com,Sales,Sales Representative,3283,Female,+233208858768,2017-10-18
Daniel,Mensah,daniel.mensah.112@thenoveltyconcepts.com,Marketing,SEO Specialist,10948,Male,+233203758786,2024-09-14
Isaac,Acheampong,isaac.acheampong.113@thenoveltyconcepts.com,HR,HR Assistant,3640,Female,+233209359208,2017-03-27
Kwesi,Asare,kwesi.asare.114@thenoveltyconcepts.com,Marketing,Director,14486,Male,+233201540114,2023-04-18
Akua,Yeboah,akua.yeboah.115@thenoveltyconcepts.com,Marketing,Content Creator,6425,Male,+233201970036,2025-05-13
Rita,Kwarteng,rita.kwarteng.116@thenoveltyconcepts.com,Operations,Logistics Coordinator,8405,Female,+233207726741,2021-06-03
Kwame,Owusu,kwame.owusu.117@thenoveltyconcepts.com,Sales,Account Executive,6651,Male,+233204665096,2025-04-28
Blessing,Appiah,blessing.appiah.118@thenoveltyconcepts.com,Sales,Account Executive,8760,Male,+233206508613,2021-10-22
Akua,Mensah,akua.mensah.119@thenoveltyconcepts.com,HR,HR Officer,9715,Female,+233203706263,2022-10-21
Afia,Quansah,afia.quansah.120@thenoveltyconcepts.com,Operations,Facility Coordinator,10899,Female,+233202633183,2017-06-28
Akua,Owusu,akua.owusu.121@thenoveltyconcepts.com,Operations,Operations Manager,13420,Male,+233202660737,2019-02-18
Ebenezer,Appiah,ebenezer.appiah.122@thenoveltyconcepts.com,Finance,Financial Analyst,9589,Male,+233209489290,2018-09-21
Yaw,Adu,yaw.adu.123@thenoveltyconcepts.com,Operations,Facility Coordinator,6138,Male,+233204765214,2021-09-28
Kofi,Frimpong,kofi.frimpong.124@thenoveltyconcepts.com,IT,System Administrator,4531,Female,+233206658789,2017-02-04
Gifty,Kwarteng,gifty.kwarteng.125@thenoveltyconcepts.com,Sales,Account Executive,7358,Female,+233208119981,2017-08-05
Afia,Osei,afia.osei.126@thenoveltyconcepts.com,Sales,Sales Representative,5868,Male,+233207100897,2017-11-25
Yaa,Bonsu,yaa.bonsu.127@thenoveltyconcepts.com,Operations,Operations Officer,3574,Male,+233204635101,2021-10-05
Yaa,Donkor,yaa.donkor.128@thenoveltyconcepts.com,Operations,Operations Officer,6165,Male,+233205257533,2025-07-14
Ebenezer,Sarpong,ebenezer.sarpong.129@thenoveltyconcepts.com,IT,IT Support Specialist,8432,Female,+233209450164,2019-03-25
Rita,Yiadom,rita.yiadom.130@thenoveltyconcepts.com,HR,Benefits Coordinator,5477,Female,+233206060496,2018-09-04
Afia,Sarpong,afia.sarpong.131@thenoveltyconcepts.com,Marketing,SEO Specialist,6636,Male,+233202358270,2019-01-27
Yaa,Appiah,yaa.appiah.132@thenoveltyconcepts.com,Legal,Compliance Officer,8568,Female,+233209924003,2018-08-06
Kow,Kwarteng,kow.kwarteng.133@thenoveltyconcepts.com,Finance,Auditor,3917,Male,+233204005187,2020-03-13
Rita,Appiah,rita.appiah.134@thenoveltyconcepts.com,Sales,Sales Representative,3659,Male,+233208271569,2019-12-14
Yaw,Quansah,yaw.quansah.135@thenoveltyconcepts.com,Operations,Logistics Coordinator,9429,Female,+233203307762,2023-05-23
Yaw,Quansah,yaw.quansah.136@thenoveltyconcepts.com,HR,HR Manager,23779,Male,+233207738414,2023-04-10
Kwesi,Mensah,kwesi.mensah.137@thenoveltyconcepts.com,Sales,Sales Representative,7161,Female,+233205546209,2018-02-09
Kofi,Gyamfi,kofi.gyamfi.138@thenoveltyconcepts.com,Legal,Legal Assistant,3320,Female,+233203212052,2022-11-15
Gifty,Adjei,gifty.adjei.139@thenoveltyconcepts.com,Marketing,SEO Specialist,8654,Female,+233202869949,2019-07-10
Abena,Owusu,abena.owusu.140@thenoveltyconcepts.com,Legal,Legal Assistant,7465,Male,+233205605166,2016-03-10
Akosua,Sarpong,akosua.sarpong.141@thenoveltyconcepts.com,IT,System Administrator,5958,Male,+233204672382,2018-12-03
Kwaku,Amankwah,kwaku.amankwah.142@thenoveltyconcepts.com,Legal,Compliance Officer,3064,Male,+233205342845,2023-12-22
Nana,Amankwah,nana.amankwah.143@thenoveltyconcepts.com,Legal,Compliance Officer,5066,Male,+233209107521,2016-10-31
Michael,Quansah,michael.quansah.144@thenoveltyconcepts.com,Sales,Business Development Assoc.,7500,Male,+233207649083,2022-05-22
Kojo,Adu,kojo.adu.145@thenoveltyconcepts.com,Marketing,Content Creator,9791,Male,+233209880763,2020-07-20
Yaw,Annan,yaw.annan.146@thenoveltyconcepts.com,Marketing,Marketing Executive,7781,Male,+233204502465,2025-01-29
Abena,Mensah,abena.mensah.147@thenoveltyconcepts.com,HR,HR Officer,7335,Male,+233206117584,2022-03-24
Maame,Oppong,maame.oppong.148@thenoveltyconcepts.com,Marketing,Social Media Manager,5154,Female,+233203056602,2016-08-25
Kwaku,Turkson,kwaku.turkson.149@thenoveltyconcepts.com,Legal,Paralegal,10356,Male,+233205602444,2020-07-03
Prince,Bonsu,prince.bonsu.150@thenoveltyconcepts.com,Marketing,Content Creator,4624,Male,+233201661009,2024-12-18
Kwesi,Osei,kwesi.osei.151@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,10201,Male,+233202281657,2017-04-05
Yaa,Turkson,yaa.turkson.152@thenoveltyconcepts.com,Finance,Auditor,4205,Male,+233204090549,2019-01-12
Kwame,Yiadom,kwame.yiadom.153@thenoveltyconcepts.com,HR,Benefits Coordinator,9909,Female,+233201548988,2017-09-19
Yaa,Baah,yaa.baah.154@thenoveltyconcepts.com,Marketing,Content Creator,6681,Male,+233203543490,2019-03-05
Michael,Appiah,michael.appiah.155@thenoveltyconcepts.com,Sales,Sales Manager,18246,Female,+233207792408,2024-10-05
Daniel,Quansah,daniel.quansah.156@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,8176,Female,+233209195980,2023-07-13
Blessing,Frimpong,blessing.frimpong.157@thenoveltyconcepts.com,IT,System Administrator,6959,Female,+233205280421,2019-01-02
Kwaku,Mensah,kwaku.mensah.158@thenoveltyconcepts.com,Operations,Logistics Coordinator,3094,Male,+233209163492,2017-06-02
Kofi,Turkson,kofi.turkson.159@thenoveltyconcepts.com,Operations,Admin Assistant,7411,Female,+233207009422,2017-04-05
Yaw,Turkson,yaw.turkson.160@thenoveltyconcepts.com,Legal,Legal Assistant,10714,Male,+233203125055,2024-12-10
Samuel,Tetteh,samuel.tetteh.161@thenoveltyconcepts.com,Legal,Compliance Officer,3839,Female,+233207035548,2017-01-18
Prince,Boateng,prince.boateng.162@thenoveltyconcepts.com,IT,IT Support Specialist,4417,Female,+233205882015,2019-05-15
Daniel,Acheampong,daniel.acheampong.163@thenoveltyconcepts.com,Finance,Auditor,4553,Female,+233203080212,2016-03-12
Maame,Appiah,maame.appiah.164@thenoveltyconcepts.com,Legal,Paralegal,10072,Male,+233206225928,2023-01-06
Daniel,Nkansah,daniel.nkansah.165@thenoveltyconcepts.com,Operations,Facility Coordinator,3167,Male,+233201814182,2025-03-13
Prince,Mensah,prince.mensah.166@thenoveltyconcepts.com,Legal,Legal Manager,22401,Female,+233201982328,2017-05-06
Yaa,Oppong,yaa.oppong.167@thenoveltyconcepts.com,IT,DevOps Engineer,7653,Male,+233201001014,2019-08-10
Yaa,Acheampong,yaa.acheampong.168@thenoveltyconcepts.com,Marketing,Marketing Executive,6395,Female,+233204874037,2017-04-16
Abigail,Acheampong,abigail.acheampong.169@thenoveltyconcepts.com,HR,Benefits Coordinator,3672,Male,+233204386109,2017-02-17
Prince,Donkor,prince.donkor.170@thenoveltyconcepts.com,HR,Benefits Coordinator,9365,Male,+233209936603,2016-03-23
Blessing,Tetteh,blessing.tetteh.171@thenoveltyconcepts.com,Marketing,Marketing Executive,10452,Female,+233205265043,2020-10-09
Kow,Acheampong,kow.acheampong.172@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,7355,Male,+233208880068,2019-08-19
Akua,Donkor,akua.donkor.173@thenoveltyconcepts.com,HR,HR Manager,22233,Male,+233202002374,2024-08-02
Kwame,Boateng,kwame.boateng.174@thenoveltyconcepts.com,IT,Head of IT,19977,Male,+233206313062,2024-02-09
Maame,Mensah,maame.mensah.175@thenoveltyconcepts.com,IT,DevOps Engineer,7093,Female,+233204898804,2021-06-18
Prince,Adjei,prince.adjei.176@thenoveltyconcepts.com,Sales,Sales Representative,4808,Male,+233202779809,2020-07-14
Adjoa,Boateng,adjoa.boateng.177@thenoveltyconcepts.com,Finance,Payroll Clerk,3110,Female,+233202687569,2016-11-06
Adjoa,Sarpong,adjoa.sarpong.178@thenoveltyconcepts.com,IT,IT Manager,24578,Female,+233204321713,2024-05-10
Samuel,Yeboah,samuel.yeboah.179@thenoveltyconcepts.com,IT,Software Engineer,10814,Female,+233202817815,2022-01-22
Ama,Owusu,ama.owusu.180@thenoveltyconcepts.com,Sales,Business Development Assoc.,8038,Female,+233203371800,2019-02-13
Afia,Adu,afia.adu.181@thenoveltyconcepts.com,IT,System Administrator,6788,Male,+233204940515,2020-04-17
Kwaku,Frimpong,kwaku.frimpong.182@thenoveltyconcepts.com,Operations,Facility Coordinator,8343,Female,+233203615344,2019-03-06
Kwesi,Boateng,kwesi.boateng.183@thenoveltyconcepts.com,Marketing,Content Creator,3885,Male,+233209492022,2025-10-07
Kojo,Kwarteng,kojo.kwarteng.184@thenoveltyconcepts.com,Legal,Compliance Officer,6480,Male,+233208425781,2021-03-26
Prince,Amankwah,prince.amankwah.185@thenoveltyconcepts.com,Operations,Facility Coordinator,9775,Male,+233208956843,2020-04-08
Kojo,Adjei,kojo.adjei.186@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,3579,Male,+233201087632,2017-09-22
Kwame,Mensah,kwame.mensah.187@thenoveltyconcepts.com,Sales,Business Development Assoc.,8721,Female,+233201778204,2018-12-01
Samuel,Oppong,samuel.oppong.188@thenoveltyconcepts.com,Sales,Business Development Assoc.,9139,Male,+233206733026,2018-07-07
Samuel,Donkor,samuel.donkor.189@thenoveltyconcepts.com,IT,Software Engineer,10458,Male,+233201143670,2021-12-31
Afia,Adjei,afia.adjei.190@thenoveltyconcepts.com,Operations,Admin Assistant,10228,Male,+233209385392,2024-08-06
Ebenezer,Danquah,ebenezer.danquah.191@thenoveltyconcepts.com,Legal,Legal Assistant,10886,Female,+233205635698,2018-11-28
Kwaku,Kwarteng,kwaku.kwarteng.192@thenoveltyconcepts.com,Operations,Logistics Coordinator,10054,Male,+233203853569,2021-02-16
Ama,Turkson,ama.turkson.193@thenoveltyconcepts.com,Finance,Auditor,7841,Female,+233208478428,2025-05-14
Abigail,Osei,abigail.osei.194@thenoveltyconcepts.com,IT,DevOps Engineer,4297,Male,+233201637274,2018-08-15
Nana,Frimpong,nana.frimpong.195@thenoveltyconcepts.com,Operations,Facility Coordinator,6342,Female,+233201599911,2018-01-27
Daniel,Frimpong,daniel.frimpong.196@thenoveltyconcepts.com,Finance,Financial Analyst,10983,Female,+233205596911,2016-12-04
Kwame,Adu,kwame.adu.197@thenoveltyconcepts.com,HR,Talent Acquisition Specialist,10106,Female,+233206824288,2016-02-29
Samuel,Nkansah,samuel.nkansah.198@thenoveltyconcepts.com,Marketing,Content Creator,10050,Male,+233204010761,2016-12-03
Kwame,Quansah,kwame.quansah.199@thenoveltyconcepts.com,Operations,Facility Coordinator,9777,Male,+233204046417,2020-03-24
Kojo,Nkansah,kojo.nkansah.200@thenoveltyconcepts.com,Sales,Sales Representative,9707,Male,+233201054816,2020-12-26
Akosua,Kwarteng,akosua.kwarteng.201@thenoveltyconcepts.com,Operations,Logistics Coordinator,7173,Female,+233203377828,2020-11-02
Afia,Amankwah,afia.amankwah.202@thenoveltyconcepts.com,Marketing,Content Creator,8808,Male,+233206541785,2017-01-23
Kwesi,Tetteh,kwesi.tetteh.203@thenoveltyconcepts.com,Sales,Business Development Assoc.,3420,Female,+233208751996,2018-05-18
Daniel,Gyamfi,daniel.gyamfi.204@thenoveltyconcepts.com,IT,IT Manager,23309,Male,+233206812149,2024-07-06
Nana,Adjei,nana.adjei.205@thenoveltyconcepts.com,Sales,Business Development Assoc.,3819,Male,+233208642997,2022-02-08
Emmanuel,Appiah,emmanuel.appiah.206@thenoveltyconcepts.com,IT,DevOps Engineer,6136,Female,+233204793723,2022-03-01
Abigail,Adjei,abigail.adjei.207@thenoveltyconcepts.com,Marketing,SEO Specialist,8838,Male,+233207754725,2021-04-04
Sampson,Annan,sampson.annan.208@thenoveltyconcepts.com,Legal,Legal Assistant,4613,Female,+233201367980,2021-03-16
Michael,Adjei,michael.adjei.209@thenoveltyconcepts.com,HR,HR Officer,9174,Female,+233207403369,2022-09-16
Prince,Amankwah,prince.amankwah.210@thenoveltyconcepts.com,Legal,Compliance Officer,4713,Female,+233205581135,2019-11-16
Yaa,Mensah,yaa.mensah.211@thenoveltyconcepts.com,Operations,Facility Coordinator,9724,Female,+233203573369,2025-07-12
Patricia,Asare,patricia.asare.212@thenoveltyconcepts.com,Marketing,Marketing Executive,6149,Male,+233207574476,2017-07-03
Samuel,Donkor,samuel.donkor.213@thenoveltyconcepts.com,IT,System Administrator,6984,Female,+233205155236,2022-09-16
Abigail,Adjei,abigail.adjei.214@thenoveltyconcepts.com,HR,HR Assistant,9734,Female,+233204790122,2023-08-19
Adjoa,Appiah,adjoa.appiah.215@thenoveltyconcepts.com,IT,IT Support Specialist,6724,Male,+233202984934,2019-07-09
Samuel,Yiadom,samuel.yiadom.216@thenoveltyconcepts.com,Finance,Accountant,4025,Female,+233201182284,2023-08-02
Samuel,Danquah,samuel.danquah.217@thenoveltyconcepts.com,Finance,Payroll Clerk,8942,Female,+233202460543,2023-02-15
Abigail,Nkansah,abigail.nkansah.218@thenoveltyconcepts.com,Finance,Head of Finance,16891,Female,+233208200140,2023-02-11
