email,title,description,status,progress
michael.amankwah.599@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
abena.baah.1934@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,82
abena.baah.1934@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
abena.baah.1934@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
akua.danquah.1149@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
akua.danquah.1149@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,22
michael.annan.1795@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
michael.annan.1795@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
michael.annan.1795@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
adjoa.adu.671@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
adjoa.adu.671@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
abena.danquah.481@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
daniel.frimpong.769@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,72
daniel.frimpong.769@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
akua.danquah.1575@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
kwame.gyamfi.719@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
kwame.gyamfi.719@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,36
kwame.sarpong.1122@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
gifty.turkson.623@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
yaw.amankwah.356@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
yaw.amankwah.356@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
kow.adjei.1348@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
rita.appiah.955@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
rita.appiah.955@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
samuel.boateng.1184@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
samuel.boateng.1184@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
samuel.boateng.1184@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
kow.yeboah.15@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,87
kow.yeboah.15@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,42
blessing.adjei.544@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
blessing.adjei.544@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
kwaku.adu.950@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
kwaku.adu.950@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
prince.annan.369@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
yaw.nkansah.1066@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
yaw.nkansah.1066@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
michael.adjei.1151@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
michael.adjei.1151@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
michael.adjei.1151@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
akosua.boateng.1097@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
akosua.boateng.1097@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
akosua.boateng.1097@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,10
ebenezer.baah.1767@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
kwesi.kwarteng.1059@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
kwesi.kwarteng.1059@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,48
abigail.owusu.781@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,82
abigail.owusu.781@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
isaac.mensah.1910@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
samuel.yeboah.267@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
samuel.yeboah.267@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
samuel.yeboah.267@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
yaa.amankwah.1594@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,76
yaa.amankwah.1594@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
yaw.quansah.136@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
yaw.quansah.136@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
sampson.quansah.1769@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
isaac.quansah.1426@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
isaac.quansah.1426@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
isaac.quansah.1426@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
rita.turkson.900@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
rita.turkson.900@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
rita.turkson.900@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,38
michael.owusu.1356@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
michael.owusu.1356@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
maame.kwarteng.1438@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
rita.donkor.1828@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
rita.donkor.1828@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
isaac.kwarteng.926@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
isaac.kwarteng.926@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
isaac.kwarteng.926@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
akua.mensah.77@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,71
kow.frimpong.1354@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
kow.frimpong.1354@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
kow.frimpong.1354@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,88
abigail.gyamfi.644@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
abigail.gyamfi.644@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
abigail.gyamfi.644@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
patricia.gyamfi.1124@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,61
patricia.gyamfi.1124@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
akosua.oppong.228@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
akosua.oppong.228@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
afia.asare.1517@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
afia.asare.1517@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
afia.asare.1517@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
michael.mensah.495@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
kojo.adjei.342@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,80
kojo.adjei.342@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
kojo.adjei.342@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
yaa.osei.1841@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
yaa.osei.1841@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
kwame.annan.311@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
kwame.annan.311@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
kofi.turkson.322@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
kofi.turkson.322@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,12
afia.oppong.1976@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
afia.oppong.1976@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
afia.oppong.1976@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
sampson.owusu.569@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,NOT_STARTED,0
nana.frimpong.664@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
afia.baah.742@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,12
afia.baah.742@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,52
akosua.boateng.1568@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
akosua.boateng.1568@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
akosua.boateng.1568@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
samuel.adu.270@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,24
samuel.adu.270@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
samuel.adu.270@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,72
abena.tetteh.1398@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
abena.tetteh.1398@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
adjoa.amankwah.591@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
adjoa.amankwah.591@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
kojo.kwarteng.184@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
sampson.oppong.1395@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
sampson.oppong.1395@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,47
sampson.oppong.1395@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,73
yaa.oppong.167@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
yaa.oppong.167@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
yaa.oppong.167@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
prince.turkson.941@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,69
prince.turkson.941@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,COMPLETED,100
prince.turkson.941@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
adjoa.frimpong.1259@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
adjoa.frimpong.1259@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
adjoa.frimpong.1259@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,86
emmanuel.adjei.79@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
nana.frimpong.886@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
nana.frimpong.886@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,56
michael.frimpong.755@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
michael.frimpong.755@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,17
maame.gyamfi.1445@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
maame.gyamfi.1445@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
maame.gyamfi.1445@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
abena.tetteh.1689@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
abena.tetteh.1689@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
abena.tetteh.1689@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
kwaku.appiah.1692@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
kwaku.appiah.1692@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,37
akosua.turkson.1484@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
akosua.turkson.1484@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,85
akosua.turkson.1484@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,77
akosua.bonsu.100@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
akosua.bonsu.100@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,22
akosua.bonsu.100@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,43
kwaku.osei.1669@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
kwaku.osei.1669@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
kwaku.osei.1669@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,43
samuel.gyamfi.1088@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
kojo.adu.910@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,33
samuel.tetteh.161@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
kwesi.bonsu.1105@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
kwesi.bonsu.1105@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,MISSED,0
kwame.kwarteng.728@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,46
kwame.kwarteng.728@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,74
adjoa.adu.410@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,27
adjoa.adu.410@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
michael.yiadom.1742@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
michael.yiadom.1742@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
kojo.baah.963@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
kojo.baah.963@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
kojo.baah.963@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,12
daniel.quansah.1045@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
daniel.quansah.1045@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
abigail.baah.323@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,IN_PROGRESS,27
abigail.baah.323@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
abigail.baah.323@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
maame.frimpong.665@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
maame.frimpong.665@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
akosua.baah.1813@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,63
akosua.baah.1813@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,21
akosua.baah.1813@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
kwaku.danquah.862@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
kwaku.danquah.862@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
kwaku.osei.1956@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
kwaku.osei.1956@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,72
kwaku.osei.1956@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
sampson.osei.1572@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,COMPLETED,100
sampson.osei.1572@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,83
sampson.osei.1572@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
kwesi.sarpong.63@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
kwesi.sarpong.63@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,82
akosua.appiah.838@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
akosua.appiah.838@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
akosua.appiah.838@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
prince.donkor.1429@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,65
prince.donkor.1429@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
prince.donkor.1429@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,81
yaw.adu.1214@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
yaw.adu.1214@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,IN_PROGRESS,71
yaw.adu.1214@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",NOT_STARTED,0
ebenezer.donkor.269@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
ebenezer.donkor.269@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,14
ebenezer.donkor.269@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,54
samuel.acheampong.939@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
samuel.acheampong.939@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
ama.baah.590@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,IN_PROGRESS,79
sampson.annan.208@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,43
michael.appiah.312@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,MISSED,0
michael.appiah.312@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
michael.appiah.312@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),MISSED,0
akosua.bonsu.647@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",IN_PROGRESS,71
akosua.bonsu.647@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,36
kofi.nkansah.1274@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),NOT_STARTED,0
kofi.nkansah.1274@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
kofi.nkansah.1274@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
kwaku.owusu.1370@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",COMPLETED,100
kwaku.owusu.1370@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
afia.turkson.860@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
afia.turkson.860@thenoveltyconcepts.com,Sales Target,"Achieve Q1 sales quota of GHS 50,000",MISSED,0
blessing.boateng.816@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
blessing.boateng.816@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),COMPLETED,100
kwesi.asare.1174@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,31
rita.amankwah.1255@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,15
rita.amankwah.1255@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,COMPLETED,100
rita.amankwah.1255@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
nana.mensah.309@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,MISSED,0
kofi.donkor.1293@thenoveltyconcepts.com,Leadership,Mentor 2 junior staff members,NOT_STARTED,0
kofi.donkor.1293@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,NOT_STARTED,0
kofi.donkor.1293@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,NOT_STARTED,0
kojo.frimpong.1093@thenoveltyconcepts.com,Documentation,Update standard operating procedures (SOPs),IN_PROGRESS,49
kojo.frimpong.1093@thenoveltyconcepts.com,Compliance,Ensure 100% adherence to new safety protocols,MISSED,0
maame.appiah.164@thenoveltyconcepts.com,Skill Acquisition,Complete advanced certification,IN_PROGRESS,85
maame.appiah.164@thenoveltyconcepts.com,Improve efficiency,Reduce turnaround time by 10%,COMPLETED,100
