email,leaveType,daysAllocated,year,daysUsed
daniel.annan.13@thenoveltyconcepts.com,Annual Leave,17,2026,0
daniel.annan.13@thenoveltyconcepts.com,Sick Leave,15,2026,0
daniel.annan.13@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
daniel.annan.13@thenoveltyconcepts.com,Casual Leave,5,2026,0
daniel.annan.13@thenoveltyconcepts.com,Study Leave,19,2026,0
daniel.annan.13@thenoveltyconcepts.com,Maternity Leave,60,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Annual Leave,21,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Sick Leave,19,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Casual Leave,7,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Study Leave,11,2026,0
nana.frimpong.14@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Annual Leave,22,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Sick Leave,19,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Casual Leave,7,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Study Leave,18,2026,0
kow.yeboah.15@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Annual Leave,28,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Sick Leave,18,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Casual Leave,10,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Study Leave,13,2026,0
kojo.tetteh.16@thenoveltyconcepts.com,Paternity Leave,5,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Annual Leave,20,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Sick Leave,17,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Casual Leave,9,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Study Leave,15,2026,0
patricia.oppong.17@thenoveltyconcepts.com,Paternity Leave,5,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Annual Leave,28,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Sick Leave,19,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Casual Leave,7,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Study Leave,17,2026,0
blessing.boateng.18@thenoveltyconcepts.com,Maternity Leave,60,2026,0
afia.baah.19@thenoveltyconcepts.com,Annual Leave,20,2026,0
afia.baah.19@thenoveltyconcepts.com,Sick Leave,19,2026,0
afia.baah.19@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
afia.baah.19@thenoveltyconcepts.com,Casual Leave,5,2026,0
afia.baah.19@thenoveltyconcepts.com,Study Leave,15,2026,0
afia.baah.19@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Annual Leave,28,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Sick Leave,17,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Casual Leave,10,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Study Leave,15,2026,0
kwame.tetteh.20@thenoveltyconcepts.com,Maternity Leave,60,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Annual Leave,18,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Sick Leave,15,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Casual Leave,10,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Study Leave,13,2026,0
daniel.donkor.21@thenoveltyconcepts.com,Maternity Leave,60,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Annual Leave,27,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Sick Leave,19,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Casual Leave,10,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Study Leave,19,2026,0
emmanuel.osei.22@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kojo.annan.23@thenoveltyconcepts.com,Annual Leave,26,2026,1
kojo.annan.23@thenoveltyconcepts.com,Sick Leave,19,2026,0
kojo.annan.23@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
kojo.annan.23@thenoveltyconcepts.com,Casual Leave,7,2026,0
kojo.annan.23@thenoveltyconcepts.com,Study Leave,11,2026,0
kojo.annan.23@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kwaku.yeboah.24@thenoveltyconcepts.com,Annual Leave,16,2026,9
kwaku.yeboah.24@thenoveltyconcepts.com,Sick Leave,21,2026,1
kwaku.yeboah.24@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
kwaku.yeboah.24@thenoveltyconcepts.com,Casual Leave,9,2026,0
kwaku.yeboah.24@thenoveltyconcepts.com,Study Leave,13,2026,0
kwaku.yeboah.24@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kow.donkor.25@thenoveltyconcepts.com,Annual Leave,20,2026,0
kow.donkor.25@thenoveltyconcepts.com,Sick Leave,15,2026,0
kow.donkor.25@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
kow.donkor.25@thenoveltyconcepts.com,Casual Leave,5,2026,0
kow.donkor.25@thenoveltyconcepts.com,Study Leave,16,2026,0
kow.donkor.25@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Annual Leave,21,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Sick Leave,17,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Casual Leave,8,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Study Leave,19,2026,0
kwesi.asare.26@thenoveltyconcepts.com,Paternity Leave,5,2026,0
michael.turkson.27@thenoveltyconcepts.com,Annual Leave,28,2026,0
michael.turkson.27@thenoveltyconcepts.com,Sick Leave,16,2026,0
michael.turkson.27@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
michael.turkson.27@thenoveltyconcepts.com,Casual Leave,8,2026,0
michael.turkson.27@thenoveltyconcepts.com,Study Leave,15,2026,0
michael.turkson.27@thenoveltyconcepts.com,Maternity Leave,60,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Annual Leave,17,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Sick Leave,15,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Casual Leave,10,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Study Leave,15,2026,0
isaac.frimpong.28@thenoveltyconcepts.com,Paternity Leave,5,2026,0
abena.adjei.29@thenoveltyconcepts.com,Annual Leave,28,2026,0
abena.adjei.29@thenoveltyconcepts.com,Sick Leave,19,2026,0
abena.adjei.29@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
abena.adjei.29@thenoveltyconcepts.com,Casual Leave,5,2026,0
abena.adjei.29@thenoveltyconcepts.com,Study Leave,18,2026,0
abena.adjei.29@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Annual Leave,27,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Sick Leave,17,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Casual Leave,6,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Study Leave,15,2026,0
kwaku.baah.30@thenoveltyconcepts.com,Maternity Leave,60,2026,0
akosua.kwarteng.31@thenoveltyconcepts.com,Annual Leave,26,2026,6
akosua.kwarteng.31@thenoveltyconcepts.com,Sick Leave,16,2026,0
akosua.kwarteng.31@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
akosua.kwarteng.31@thenoveltyconcepts.com,Casual Leave,9,2026,0
akosua.kwarteng.31@thenoveltyconcepts.com,Study Leave,19,2026,2
akosua.kwarteng.31@thenoveltyconcepts.com,Paternity Leave,5,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Annual Leave,18,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Sick Leave,18,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Casual Leave,5,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Study Leave,14,2026,0
akosua.nkansah.32@thenoveltyconcepts.com,Paternity Leave,5,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Annual Leave,25,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Sick Leave,15,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Casual Leave,9,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Study Leave,18,2026,0
yaa.appiah.33@thenoveltyconcepts.com,Maternity Leave,60,2026,0
yaa.annan.34@thenoveltyconcepts.com,Annual Leave,29,2026,0
yaa.annan.34@thenoveltyconcepts.com,Sick Leave,16,2026,0
yaa.annan.34@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
yaa.annan.34@thenoveltyconcepts.com,Casual Leave,5,2026,0
yaa.annan.34@thenoveltyconcepts.com,Study Leave,12,2026,0
yaa.annan.34@thenoveltyconcepts.com,Paternity Leave,5,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Annual Leave,16,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Sick Leave,17,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Casual Leave,8,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Study Leave,11,2026,0
isaac.bonsu.35@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Annual Leave,15,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Sick Leave,14,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Casual Leave,10,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Study Leave,17,2026,0
kwame.yeboah.36@thenoveltyconcepts.com,Maternity Leave,60,2026,0
nana.tetteh.37@thenoveltyconcepts.com,Annual Leave,20,2026,5
nana.tetteh.37@thenoveltyconcepts.com,Sick Leave,14,2026,0
nana.tetteh.37@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
nana.tetteh.37@thenoveltyconcepts.com,Casual Leave,9,2026,3
nana.tetteh.37@thenoveltyconcepts.com,Study Leave,20,2026,0
nana.tetteh.37@thenoveltyconcepts.com,Paternity Leave,5,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Annual Leave,20,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Sick Leave,19,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Casual Leave,6,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Study Leave,16,2026,0
afia.yeboah.38@thenoveltyconcepts.com,Paternity Leave,5,2026,0
akua.baah.39@thenoveltyconcepts.com,Annual Leave,28,2026,6
akua.baah.39@thenoveltyconcepts.com,Sick Leave,20,2026,0
akua.baah.39@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
akua.baah.39@thenoveltyconcepts.com,Casual Leave,8,2026,0
akua.baah.39@thenoveltyconcepts.com,Study Leave,19,2026,0
akua.baah.39@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Annual Leave,27,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Sick Leave,20,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Casual Leave,9,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Study Leave,17,2026,0
kwaku.acheampong.40@thenoveltyconcepts.com,Paternity Leave,5,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Annual Leave,17,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Sick Leave,14,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Casual Leave,9,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Study Leave,14,2026,0
isaac.frimpong.41@thenoveltyconcepts.com,Paternity Leave,5,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Annual Leave,23,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Sick Leave,20,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Casual Leave,5,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Study Leave,19,2026,0
gifty.mensah.42@thenoveltyconcepts.com,Maternity Leave,60,2026,0
maame.asare.43@thenoveltyconcepts.com,Annual Leave,18,2026,0
maame.asare.43@thenoveltyconcepts.com,Sick Leave,17,2026,0
maame.asare.43@thenoveltyconcepts.com,Compassionate Leave,10,2026,0
maame.asare.43@thenoveltyconcepts.com,Casual Leave,7,2026,0
maame.asare.43@thenoveltyconcepts.com,Study Leave,11,2026,0
maame.asare.43@thenoveltyconcepts.com,Paternity Leave,5,2026,0
yaa.sarpong.44@thenoveltyconcepts.com,Annual Leave,18,2026,8
yaa.sarpong.44@thenoveltyconcepts.com,Sick Leave,14,2026,0
yaa.sarpong.44@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
yaa.sarpong.44@thenoveltyconcepts.com,Casual Leave,9,2026,0
yaa.sarpong.44@thenoveltyconcepts.com,Study Leave,15,2026,0
yaa.sarpong.44@thenoveltyconcepts.com,Paternity Leave,5,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Annual Leave,30,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Sick Leave,21,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Casual Leave,9,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Study Leave,12,2026,0
yaa.donkor.45@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Annual Leave,27,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Sick Leave,19,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Casual Leave,7,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Study Leave,14,2026,0
kofi.adjei.46@thenoveltyconcepts.com,Paternity Leave,5,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Annual Leave,29,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Sick Leave,21,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Casual Leave,5,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Study Leave,17,2026,0
adjoa.sarpong.47@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kwame.acheampong.48@thenoveltyconcepts.com,Annual Leave,27,2026,8
kwame.acheampong.48@thenoveltyconcepts.com,Sick Leave,18,2026,0
kwame.acheampong.48@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
kwame.acheampong.48@thenoveltyconcepts.com,Casual Leave,9,2026,0
kwame.acheampong.48@thenoveltyconcepts.com,Study Leave,15,2026,0
kwame.acheampong.48@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Annual Leave,20,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Sick Leave,15,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Casual Leave,6,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Study Leave,15,2026,0
kwame.danquah.49@thenoveltyconcepts.com,Paternity Leave,5,2026,0
akosua.kwarteng.50@thenoveltyconcepts.com,Annual Leave,15,2026,6
akosua.kwarteng.50@thenoveltyconcepts.com,Sick Leave,19,2026,0
akosua.kwarteng.50@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
akosua.kwarteng.50@thenoveltyconcepts.com,Casual Leave,5,2026,0
akosua.kwarteng.50@thenoveltyconcepts.com,Study Leave,13,2026,0
akosua.kwarteng.50@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kwaku.owusu.51@thenoveltyconcepts.com,Annual Leave,27,2026,7
kwaku.owusu.51@thenoveltyconcepts.com,Sick Leave,17,2026,0
kwaku.owusu.51@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
kwaku.owusu.51@thenoveltyconcepts.com,Casual Leave,9,2026,0
kwaku.owusu.51@thenoveltyconcepts.com,Study Leave,12,2026,0
kwaku.owusu.51@thenoveltyconcepts.com,Maternity Leave,60,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Annual Leave,25,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Sick Leave,21,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Casual Leave,7,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Study Leave,15,2026,0
kojo.boateng.52@thenoveltyconcepts.com,Paternity Leave,5,2026,0
akua.kwarteng.53@thenoveltyconcepts.com,Annual Leave,15,2026,6
akua.kwarteng.53@thenoveltyconcepts.com,Sick Leave,20,2026,1
akua.kwarteng.53@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
akua.kwarteng.53@thenoveltyconcepts.com,Casual Leave,8,2026,0
akua.kwarteng.53@thenoveltyconcepts.com,Study Leave,11,2026,0
akua.kwarteng.53@thenoveltyconcepts.com,Maternity Leave,60,2026,0
isaac.adjei.54@thenoveltyconcepts.com,Annual Leave,28,2026,3
isaac.adjei.54@thenoveltyconcepts.com,Sick Leave,15,2026,0
isaac.adjei.54@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
isaac.adjei.54@thenoveltyconcepts.com,Casual Leave,9,2026,0
isaac.adjei.54@thenoveltyconcepts.com,Study Leave,12,2026,0
isaac.adjei.54@thenoveltyconcepts.com,Maternity Leave,60,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Annual Leave,25,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Sick Leave,20,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Casual Leave,8,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Study Leave,16,2026,0
adjoa.yiadom.55@thenoveltyconcepts.com,Paternity Leave,5,2026,0
michael.gyamfi.56@thenoveltyconcepts.com,Annual Leave,28,2026,4
michael.gyamfi.56@thenoveltyconcepts.com,Sick Leave,17,2026,0
michael.gyamfi.56@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
michael.gyamfi.56@thenoveltyconcepts.com,Casual Leave,6,2026,0
michael.gyamfi.56@thenoveltyconcepts.com,Study Leave,13,2026,2
michael.gyamfi.56@thenoveltyconcepts.com,Paternity Leave,5,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Annual Leave,15,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Sick Leave,14,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Casual Leave,9,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Study Leave,18,2026,0
prince.acheampong.57@thenoveltyconcepts.com,Paternity Leave,5,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Annual Leave,25,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Sick Leave,16,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Compassionate Leave,6,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Casual Leave,9,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Study Leave,11,2026,0
adjoa.kwarteng.58@thenoveltyconcepts.com,Paternity Leave,5,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Annual Leave,25,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Sick Leave,16,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Compassionate Leave,5,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Casual Leave,7,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Study Leave,14,2026,0
ama.bonsu.59@thenoveltyconcepts.com,Paternity Leave,5,2026,0
daniel.baah.60@thenoveltyconcepts.com,Annual Leave,26,2026,0
daniel.baah.60@thenoveltyconcepts.com,Sick Leave,20,2026,0
daniel.baah.60@thenoveltyconcepts.com,Compassionate Leave,9,2026,0
daniel.baah.60@thenoveltyconcepts.com,Casual Leave,5,2026,0
daniel.baah.60@thenoveltyconcepts.com,Study Leave,16,2026,0
daniel.baah.60@thenoveltyconcepts.com,Maternity Leave,60,2026,0
prince.baah.61@thenoveltyconcepts.com,Annual Leave,19,2026,9
prince.baah.61@thenoveltyconcepts.com,Sick Leave,20,2026,0
prince.baah.61@thenoveltyconcepts.com,Compassionate Leave,7,2026,0
prince.baah.61@thenoveltyconcepts.com,Casual Leave,7,2026,0
prince.baah.61@thenoveltyconcepts.com,Study Leave,13,2026,0
prince.baah.61@thenoveltyconcepts.com,Paternity Leave,5,2026,0
michael.asare.62@thenoveltyconcepts.com,Annual Leave,29,2026,0
michael.asare.62@thenoveltyconcepts.com,Sick Leave,16,2026,0
michael.asare.62@thenoveltyconcepts.com,Compassionate Leave,8,2026,0
michael.asare.62@thenoveltyconcepts.com,Casual Leave,6,2026,0
michael.asare.62@thenoveltyconcepts.com,Study Leave,11,2026,0
michael.asare.62@thenoveltyconcepts.com,Paternity Leave,5,2026,0
kwesi.sarpong.63@thenoveltyconcepts.com,Annual Leave,17,2026,0
