email,name,issuer,issueDate,url
kwesi.yiadom.442@thenoveltyconcepts.com,PHR,HRCI,2024-09-25,https://certs.provider.com/verify/51045
kwesi.yiadom.442@thenoveltyconcepts.com,SHRM-CP,SHRM,2025-09-22,https://certs.provider.com/verify/94199
yaa.yiadom.1502@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-11-19,https://certs.provider.com/verify/43346
michael.yeboah.1463@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2025-01-11,https://certs.provider.com/verify/65891
michael.yeboah.1463@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2024-07-01,https://certs.provider.com/verify/53328
daniel.appiah.401@thenoveltyconcepts.com,AWS Certified Developer,AWS,2024-05-28,https://certs.provider.com/verify/74426
daniel.appiah.401@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2025-06-28,https://certs.provider.com/verify/85384
maame.kwarteng.1913@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2025-11-20,https://certs.provider.com/verify/69306
isaac.boateng.1937@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2023-06-02,https://certs.provider.com/verify/39547
isaac.boateng.1937@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2025-08-09,https://certs.provider.com/verify/54149
yaw.nkansah.1494@thenoveltyconcepts.com,ACCA,Professional Institute,2024-12-17,https://certs.provider.com/verify/49989
yaw.nkansah.1494@thenoveltyconcepts.com,Financial Modeling,Professional Institute,2023-08-27,https://certs.provider.com/verify/60127
samuel.sarpong.884@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-01-31,https://certs.provider.com/verify/29662
abigail.frimpong.1127@thenoveltyconcepts.com,Google Cloud Architect,Google,2023-11-14,https://certs.provider.com/verify/79458
abigail.frimpong.1127@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2023-10-01,https://certs.provider.com/verify/67189
sampson.bonsu.1332@thenoveltyconcepts.com,ACCA,Professional Institute,2025-01-18,https://certs.provider.com/verify/49280
abena.adu.1810@thenoveltyconcepts.com,CPA,Professional Institute,2023-10-17,https://certs.provider.com/verify/77823
abena.adu.1810@thenoveltyconcepts.com,Excel Expert,Professional Institute,2025-06-27,https://certs.provider.com/verify/84493
blessing.owusu.65@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2023-10-11,https://certs.provider.com/verify/27512
kofi.frimpong.1201@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2025-01-12,https://certs.provider.com/verify/67227
kofi.frimpong.1201@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-12-05,https://certs.provider.com/verify/80914
akua.baah.39@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2024-05-08,https://certs.provider.com/verify/61688
kwesi.adu.1068@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-04-22,https://certs.provider.com/verify/37521
kwesi.adu.1068@thenoveltyconcepts.com,PHR,HRCI,2025-04-25,https://certs.provider.com/verify/17066
abigail.danquah.1668@thenoveltyconcepts.com,Google Cloud Architect,Google,2025-09-29,https://certs.provider.com/verify/92527
abigail.danquah.1668@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-04-10,https://certs.provider.com/verify/70515
kojo.adu.910@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2024-07-26,https://certs.provider.com/verify/42162
kojo.adu.910@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2025-09-12,https://certs.provider.com/verify/25492
sampson.mensah.1402@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-06-23,https://certs.provider.com/verify/66883
kofi.oppong.1408@thenoveltyconcepts.com,Financial Modeling,Professional Institute,2025-05-20,https://certs.provider.com/verify/23931
kofi.oppong.1408@thenoveltyconcepts.com,Excel Expert,Professional Institute,2024-06-21,https://certs.provider.com/verify/11995
sampson.mensah.1461@thenoveltyconcepts.com,SHRM-CP,SHRM,2024-08-13,https://certs.provider.com/verify/93369
sampson.mensah.1461@thenoveltyconcepts.com,PHR,HRCI,2024-05-18,https://certs.provider.com/verify/48262
emmanuel.quansah.1218@thenoveltyconcepts.com,ACCA,Professional Institute,2023-05-21,https://certs.provider.com/verify/16074
emmanuel.quansah.1218@thenoveltyconcepts.com,CPA,Professional Institute,2025-01-21,https://certs.provider.com/verify/79256
adjoa.donkor.615@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2025-07-28,https://certs.provider.com/verify/71142
adjoa.donkor.615@thenoveltyconcepts.com,React Nanodegree,Udacity,2023-05-05,https://certs.provider.com/verify/96055
emmanuel.danquah.906@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2024-09-02,https://certs.provider.com/verify/90386
emmanuel.danquah.906@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-04-12,https://certs.provider.com/verify/71791
akua.adjei.849@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2025-06-16,https://certs.provider.com/verify/29987
akua.adjei.849@thenoveltyconcepts.com,SHRM-CP,SHRM,2024-03-24,https://certs.provider.com/verify/41897
afia.acheampong.713@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-08-31,https://certs.provider.com/verify/24351
isaac.nkansah.722@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-05-25,https://certs.provider.com/verify/74145
abigail.mensah.357@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2025-11-23,https://certs.provider.com/verify/70965
gifty.owusu.320@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2025-08-21,https://certs.provider.com/verify/35402
yaa.gyamfi.1036@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2025-08-24,https://certs.provider.com/verify/42809
yaa.gyamfi.1036@thenoveltyconcepts.com,Google Cloud Architect,Google,2024-09-21,https://certs.provider.com/verify/41166
abena.gyamfi.1972@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2023-08-29,https://certs.provider.com/verify/79533
abena.gyamfi.1972@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2025-11-19,https://certs.provider.com/verify/86850
akosua.adu.1054@thenoveltyconcepts.com,CPA,Professional Institute,2023-10-10,https://certs.provider.com/verify/59326
samuel.adu.270@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2023-07-08,https://certs.provider.com/verify/24557
yaw.quansah.136@thenoveltyconcepts.com,PHR,HRCI,2025-05-17,https://certs.provider.com/verify/48076
daniel.quansah.447@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2024-08-19,https://certs.provider.com/verify/57630
akua.donkor.497@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-04-25,https://certs.provider.com/verify/71462
emmanuel.nkansah.256@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-09-20,https://certs.provider.com/verify/55752
emmanuel.nkansah.256@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2024-12-11,https://certs.provider.com/verify/82194
kow.osei.1126@thenoveltyconcepts.com,SHRM-CP,SHRM,2025-02-28,https://certs.provider.com/verify/54816
kow.osei.1126@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2024-09-20,https://certs.provider.com/verify/16796
kow.frimpong.1354@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2024-02-14,https://certs.provider.com/verify/20752
kow.frimpong.1354@thenoveltyconcepts.com,PHR,HRCI,2024-11-10,https://certs.provider.com/verify/56822
abena.boateng.1536@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2025-05-21,https://certs.provider.com/verify/68716
maame.asare.1897@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2024-10-25,https://certs.provider.com/verify/43341
prince.amankwah.210@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-07-05,https://certs.provider.com/verify/28711
yaa.oppong.1316@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2025-10-22,https://certs.provider.com/verify/92978
yaa.oppong.1316@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-09-19,https://certs.provider.com/verify/20055
prince.danquah.78@thenoveltyconcepts.com,SHRM-CP,SHRM,2024-08-01,https://certs.provider.com/verify/49679
ebenezer.sarpong.1148@thenoveltyconcepts.com,Google Analytics,Professional Institute,2023-07-28,https://certs.provider.com/verify/44454
ebenezer.sarpong.1148@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2024-07-12,https://certs.provider.com/verify/69782
ebenezer.baah.450@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2024-08-10,https://certs.provider.com/verify/16980
kofi.adjei.1301@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2023-11-08,https://certs.provider.com/verify/54097
afia.danquah.639@thenoveltyconcepts.com,ACCA,Professional Institute,2023-04-22,https://certs.provider.com/verify/79529
afia.danquah.639@thenoveltyconcepts.com,CPA,Professional Institute,2024-09-08,https://certs.provider.com/verify/96729
kwesi.yeboah.689@thenoveltyconcepts.com,Excel Expert,Professional Institute,2025-11-04,https://certs.provider.com/verify/30426
kwesi.yeboah.689@thenoveltyconcepts.com,Financial Modeling,Professional Institute,2025-03-12,https://certs.provider.com/verify/22383
daniel.quansah.751@thenoveltyconcepts.com,CPA,Professional Institute,2024-06-20,https://certs.provider.com/verify/47166
abigail.osei.1670@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2024-09-05,https://certs.provider.com/verify/22457
abigail.osei.1670@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2025-12-02,https://certs.provider.com/verify/63474
akosua.tetteh.279@thenoveltyconcepts.com,Excel Expert,Professional Institute,2023-09-27,https://certs.provider.com/verify/71064
akosua.tetteh.279@thenoveltyconcepts.com,Financial Modeling,Professional Institute,2025-07-10,https://certs.provider.com/verify/96508
akosua.frimpong.234@thenoveltyconcepts.com,PHR,HRCI,2023-07-05,https://certs.provider.com/verify/66993
samuel.turkson.1141@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2024-11-25,https://certs.provider.com/verify/14400
samuel.turkson.1141@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2023-10-16,https://certs.provider.com/verify/32182
blessing.acheampong.242@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-07-03,https://certs.provider.com/verify/16339
michael.yeboah.1777@thenoveltyconcepts.com,PHR,HRCI,2025-06-16,https://certs.provider.com/verify/21757
ama.danquah.603@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2025-07-09,https://certs.provider.com/verify/92182
ama.danquah.603@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2024-02-27,https://certs.provider.com/verify/49277
michael.danquah.1401@thenoveltyconcepts.com,Google Cloud Architect,Google,2025-03-22,https://certs.provider.com/verify/31886
michael.danquah.1401@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-04-13,https://certs.provider.com/verify/25783
blessing.baah.1952@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2025-07-04,https://certs.provider.com/verify/66149
kow.oppong.233@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2023-11-13,https://certs.provider.com/verify/38964
kwaku.danquah.1189@thenoveltyconcepts.com,Google Analytics,Professional Institute,2024-10-13,https://certs.provider.com/verify/44033
adjoa.amankwah.591@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-08-10,https://certs.provider.com/verify/54382
emmanuel.amankwah.333@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2025-01-25,https://certs.provider.com/verify/83144
kwame.baah.1821@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2023-10-20,https://certs.provider.com/verify/77517
blessing.gyamfi.847@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-04-01,https://certs.provider.com/verify/41081
blessing.gyamfi.847@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2025-02-10,https://certs.provider.com/verify/11018
gifty.mensah.1069@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2025-01-06,https://certs.provider.com/verify/32225
gifty.mensah.1069@thenoveltyconcepts.com,React Nanodegree,Udacity,2023-05-24,https://certs.provider.com/verify/63117
abigail.yiadom.1978@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2025-01-22,https://certs.provider.com/verify/74163
akosua.yeboah.783@thenoveltyconcepts.com,Google Analytics,Professional Institute,2024-01-02,https://certs.provider.com/verify/36587
emmanuel.annan.564@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2023-10-05,https://certs.provider.com/verify/94342
patricia.kwarteng.1923@thenoveltyconcepts.com,Supply Chain Management,Professional Institute,2025-09-25,https://certs.provider.com/verify/64289
patricia.kwarteng.1923@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2024-06-11,https://certs.provider.com/verify/23834
blessing.quansah.764@thenoveltyconcepts.com,SHRM-CP,SHRM,2024-01-12,https://certs.provider.com/verify/30153
blessing.quansah.764@thenoveltyconcepts.com,PHR,HRCI,2023-12-02,https://certs.provider.com/verify/90332
afia.baah.19@thenoveltyconcepts.com,Excel Expert,Professional Institute,2023-09-12,https://certs.provider.com/verify/84727
ebenezer.owusu.318@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2025-08-05,https://certs.provider.com/verify/16624
ebenezer.danquah.191@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-05-25,https://certs.provider.com/verify/48027
kwaku.quansah.1953@thenoveltyconcepts.com,Google Analytics,Professional Institute,2023-11-27,https://certs.provider.com/verify/77870
kwaku.quansah.1953@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2025-06-09,https://certs.provider.com/verify/51255
abigail.gyamfi.1092@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-07-07,https://certs.provider.com/verify/43277
abena.adu.1031@thenoveltyconcepts.com,CPA,Professional Institute,2025-05-28,https://certs.provider.com/verify/62802
daniel.frimpong.769@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2024-01-27,https://certs.provider.com/verify/72184
daniel.frimpong.769@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2023-10-05,https://certs.provider.com/verify/65090
daniel.gyamfi.666@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-12-19,https://certs.provider.com/verify/46159
patricia.donkor.588@thenoveltyconcepts.com,ACCA,Professional Institute,2024-09-03,https://certs.provider.com/verify/20141
michael.mensah.1898@thenoveltyconcepts.com,AWS Certified Developer,AWS,2024-03-17,https://certs.provider.com/verify/63783
michael.mensah.1898@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-03-09,https://certs.provider.com/verify/50203
prince.danquah.4@thenoveltyconcepts.com,Six Sigma Green Belt,Professional Institute,2025-11-28,https://certs.provider.com/verify/89903
prince.danquah.4@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2024-03-12,https://certs.provider.com/verify/64696
samuel.mensah.373@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2025-08-22,https://certs.provider.com/verify/78701
samuel.mensah.373@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-08-01,https://certs.provider.com/verify/49386
akosua.oppong.1392@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2025-03-06,https://certs.provider.com/verify/24695
akosua.oppong.1392@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2024-10-22,https://certs.provider.com/verify/61080
adjoa.amankwah.960@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2024-10-26,https://certs.provider.com/verify/57633
adjoa.amankwah.960@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-12-12,https://certs.provider.com/verify/22792
prince.mensah.1253@thenoveltyconcepts.com,CPA,Professional Institute,2025-05-29,https://certs.provider.com/verify/45321
kojo.tetteh.1560@thenoveltyconcepts.com,AWS Certified Developer,AWS,2025-02-11,https://certs.provider.com/verify/14453
adjoa.asare.1310@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-12-28,https://certs.provider.com/verify/75941
adjoa.asare.1310@thenoveltyconcepts.com,PHR,HRCI,2023-08-24,https://certs.provider.com/verify/50570
abigail.baah.1382@thenoveltyconcepts.com,Project Management Professional (PMP),Professional Institute,2025-06-05,https://certs.provider.com/verify/88240
adjoa.appiah.327@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-05-22,https://certs.provider.com/verify/90806
adjoa.appiah.327@thenoveltyconcepts.com,PHR,HRCI,2023-09-10,https://certs.provider.com/verify/14970
kwame.owusu.1479@thenoveltyconcepts.com,Google Analytics,Professional Institute,2024-07-17,https://certs.provider.com/verify/91352
kwame.owusu.1479@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2023-09-07,https://certs.provider.com/verify/73538
maame.boateng.734@thenoveltyconcepts.com,AWS Certified Developer,AWS,2025-11-04,https://certs.provider.com/verify/65622
ebenezer.osei.674@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2024-11-29,https://certs.provider.com/verify/94534
ebenezer.osei.674@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2023-09-18,https://certs.provider.com/verify/79949
isaac.mensah.1910@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-08-06,https://certs.provider.com/verify/94398
daniel.yeboah.237@thenoveltyconcepts.com,Digital Marketing Specialist,Professional Institute,2023-06-21,https://certs.provider.com/verify/70771
daniel.yeboah.237@thenoveltyconcepts.com,Google Analytics,Professional Institute,2024-04-06,https://certs.provider.com/verify/53832
rita.kwarteng.1900@thenoveltyconcepts.com,React Nanodegree,Udacity,2024-02-11,https://certs.provider.com/verify/72793
yaa.frimpong.883@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-02-08,https://certs.provider.com/verify/30926
samuel.bonsu.1846@thenoveltyconcepts.com,Financial Modeling,Professional Institute,2023-08-23,https://certs.provider.com/verify/93861
samuel.amankwah.998@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2023-10-27,https://certs.provider.com/verify/37601
patricia.osei.894@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2024-11-11,https://certs.provider.com/verify/78489
isaac.kwarteng.473@thenoveltyconcepts.com,SHRM-CP,SHRM,2024-11-03,https://certs.provider.com/verify/21100
kwesi.adjei.1296@thenoveltyconcepts.com,ACCA,Professional Institute,2023-05-18,https://certs.provider.com/verify/62439
kwesi.adjei.1296@thenoveltyconcepts.com,Excel Expert,Professional Institute,2025-07-04,https://certs.provider.com/verify/15229
kwaku.donkor.306@thenoveltyconcepts.com,ACCA,Professional Institute,2024-05-31,https://certs.provider.com/verify/65125
ama.quansah.1748@thenoveltyconcepts.com,SHRM-CP,SHRM,2023-11-28,https://certs.provider.com/verify/70733
ama.quansah.1748@thenoveltyconcepts.com,Conflict Resolution,LinkedIn Learning,2023-06-02,https://certs.provider.com/verify/21594
adjoa.sarpong.1407@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2024-05-22,https://certs.provider.com/verify/82114
maame.oppong.888@thenoveltyconcepts.com,React Nanodegree,Udacity,2023-06-22,https://certs.provider.com/verify/51539
abena.gyamfi.470@thenoveltyconcepts.com,ACCA,Professional Institute,2024-12-20,https://certs.provider.com/verify/94526
akua.quansah.1939@thenoveltyconcepts.com,Strategic Selling,Professional Institute,2024-03-04,https://certs.provider.com/verify/80044
ebenezer.donkor.1754@thenoveltyconcepts.com,React Nanodegree,Udacity,2024-12-31,https://certs.provider.com/verify/11305
yaw.baah.467@thenoveltyconcepts.com,Google Analytics,Professional Institute,2024-05-14,https://certs.provider.com/verify/82760
kojo.oppong.1942@thenoveltyconcepts.com,CPA,Professional Institute,2025-06-22,https://certs.provider.com/verify/49394
patricia.boateng.1181@thenoveltyconcepts.com,Google Analytics,Professional Institute,2023-08-22,https://certs.provider.com/verify/89887
patricia.boateng.1181@thenoveltyconcepts.com,SEO Fundamentals,Professional Institute,2024-02-21,https://certs.provider.com/verify/38584
sampson.oppong.1395@thenoveltyconcepts.com,CPA,Professional Institute,2025-04-08,https://certs.provider.com/verify/80404
akua.yiadom.1945@thenoveltyconcepts.com,Cybersecurity Fundamentals,CompTIA,2023-06-14,https://certs.provider.com/verify/57528
akua.yiadom.1945@thenoveltyconcepts.com,Google Cloud Architect,Google,2024-03-15,https://certs.provider.com/verify/55338
kwame.adu.197@thenoveltyconcepts.com,SHRM-CP,SHRM,2025-06-27,https://certs.provider.com/verify/86296
kwame.adu.197@thenoveltyconcepts.com,PHR,HRCI,2025-01-25,https://certs.provider.com/verify/38351
akua.tetteh.418@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2024-08-02,https://certs.provider.com/verify/38960
ebenezer.asare.994@thenoveltyconcepts.com,Compliance Ethics,Professional Institute,2024-03-07,https://certs.provider.com/verify/43977
ebenezer.asare.994@thenoveltyconcepts.com,Corporate Law Certificate,Professional Institute,2023-05-23,https://certs.provider.com/verify/40269
ebenezer.gyamfi.324@thenoveltyconcepts.com,Negotiation Masterclass,Professional Institute,2025-10-04,https://certs.provider.com/verify/23853
ebenezer.gyamfi.324@thenoveltyconcepts.com,Salesforce Administrator,Professional Institute,2025-04-08,https://certs.provider.com/verify/75455
